vendorID,vendorName,companyLegalName,companyPreferredName,vendorLandingPageURL,creator,schemaVersion
5139,1Home,1Home Solutions GmbH,,https://www.1home.io/,cosmos1nzyp28afpumk0djal2w35s2pcl0q3e57euplkq,0
5141,Caveman,Nanoleaf Ltd.,,,cosmos1smgmnl90h9srczk926l5kt7rydjpq7x0smc5e7,0
5142,Umbra,Nanoleaf Ltd.,,,cosmos1eldeezdpcrcz2z034dku25j42cj69sshhl0ufm,0
5143,Konnected,Konnected Inc.,Konnected,https://konnected.io,cosmos14d0cpj3zw7xl402mrvlzdzysacjl20fccg32m8,0
5144,Klite,"Zhejiang Klite Lighting Holdings Co.,Ltd.",Klite,,cosmos1dw5fzly4qjr3y335fv8lmtn6u25hz7e27a2seg,0
5145,Lorex,Lorex Technology Inc.,Lorex,https://www.lorex.com/,cosmos1c98nn3uphuya0w4km5uzamjwpkawksf5g6h5m5,0
5147,Rang Dong VN,Rang Dong Light Source & Vacuum Flask JSC,Rang Dong Light Source & Vacuum Flask JSC,https://rangdong.com.vn/,cosmos1023z8vredmrn7xlzjlrlv6wdqh0fpzs8jlc9rx,0
5149,Secuyou APS,Secuyou ApS,Secuyou,http://www.secuyou.dk,cosmos1nglnnk8v90m2f8xhv2ldhntm0xngsddvf3tdfn,0
5150,arre home LLC,arre home LLC,arre home,https://arrehome.com,cosmos1vn34dnlqvz5e997ws53yfj6a2622duzf3gg80d,0
5151,Ductech,"DUCTECH Co., Ltd.",,,cosmos18nqp48ce5k7j8qvuwk7tnzmckwsd8k2tlnj850,0
5152,EcoFlow Inc.,EcoFlow Inc.,,,cosmos1w6juegqt52fzd8g3paes92q55trac2gvf4clce,0
5153,Kwikset,Kwikset,,,cosmos1uzek7g4dv7j2k5x7qqgzz7j4w4jtts3j204fnn,0
5155,Feit Electric,Feit Electric Company Inc.,Feit,https://www.feit.com,cosmos1a77lyrxp9rkxftl0aznnua490s2k0x2me5x4f6,0
5158,ELEGRP,"ELE (Group) Co., Ltd.",,,cosmos10xq30d74glzmhnxrsynjmq4daekuy58uja7hnl,0
5159,Hama GmbH,Hama GmbH & Co. KG,Hama GmbH & Co. KG,https://de.hama.com/,cosmos19904pgghdlqls30adtng659y7vxd428sm6z963,0
5161,Albrecht Jung GmbH & Co. KG,Albrecht Jung GmbH & Co. KG,,,cosmos1p32dtjghnddtddgzmynkx7l322had9qegd6vjx,0
5163,LETIANPAI,"Beijing Renhejia Technology Co., Ltd",,,cosmos1xfnupkyac4cxnsgtwcme6v7mhh7wgydd8qs47u,0
5165,QH,Zhongshan QIHANG Electronic Technology Co.,QIHANG,https://zsqhkj.1688.com/,cosmos13zzg6t6gaz36p8ctguatrguwuep9wmza6lptet,0
5167,QIACHIP,Shenzhen QIACHIP Wireless E-commerce Co.,QIACHIP,https://qiachip.com,cosmos1rhjya3hdvpyr2a3ur7s5hj48ce2qndyfcz07ht,0
5168,L-TRADE,L-TRADE GROUP SP z.o.o.,,,cosmos194gp2nmvvd8gpxnmgqj7466d4va090qm2tet2p,0
5170,"ELKO EP, s.r.o.","ELKO EP, s.r.o.","ELKO EP, s.r.o.",https://www.elkoep.cz/,cosmos1swq8f23kmwtlh782usqysrqlgqyvx7e4dljale,0
5171,MOMAX Technology (Hong Kong) Limited,MOMAX Technology (Hong Kong) Limited,,,cosmos14n7fk2marffxwytwe0yl63an4fa96z44mtxfek,0
5174,SinuxSoft,SinuxSoft Inc.,,https://sinux.kr,cosmos1hqnxstx4pkgp8a3lz78knmajqdkf3gnpelw6u2,0
5176,Topstar Lighting,"Xiamen Topstar Lighting Co.,Ltd",,,cosmos1s59zv3d336348lxam03zr3hh0vyzv6uqpv8zzt,0
5181,Onvis,"Shenzhen Champon Technology Co., Ltd",ChampOn,,cosmos1yxrfetv9dwsnum7cjkaj2d5fluecrhdpdkprrq,0
5184,VerLuce,"VerLuce, Inc.",VerLuce Smart Home,https://www.verluce.com,cosmos1rmrcm80zy4v29c04fc3mc307055zrxn030ef65,0
5185,Snowball,"Shenzhen Snowball Technology Co., Ltd.",Snowball,https://www.snowballtech.com,cosmos1zfyl24d6c8p7qhk7cxqcu9thnd9wlvr74dyyqu,0
5186,REHAU,REHAU Group,REHAU,https://www.rehau.com/,cosmos1mn2w336q9444fm5tasm0788r44j0wctvmy6x9p,0
5187,Goods iQ,"AMAX, Inc",Goods iQ,https://pureopticsled.com/,cosmos1fjrjdsttewwa28hr0ypu08l92t2a65kqmamv6v,0
5189,Finesse Decor,Finesse Decor,Finesse Decor,https://finessedecor.com/,cosmos1tje4rrdg7qxnjhuzwrfh20d0r9hxe4a8h4qj4u,0
5190,TAKE AS GLOBAL,TAKE AS GLOBAL,,,cosmos1cz069h67unmsty00g8epqcg52gq9vajx0xlgfz,0
5192,LivingStyle,LivingStyle Enterprises Limited,LivingStyle,http://www.eco-lux.com.cn/en/,cosmos166kxac0rquyt3479nhvsys0vmyt6tlqmkl8fef,0
5193,Evolux,ZUTTO TECHNOLOGIES S.A DE C.V,Lloyd's,https://lloydscorp.com/en/,cosmos19qx3ze7a94cfheq90lpnmjf7tdrkcaar6nuhm7,0
5196,TrustAsia,"TrustAsia Technologies, Inc.",TrustAsia,https://www.trustasia.com,cosmos1xkau2h5jnmen2e6m5kd2ylfl8ejm7szh24x6yc,0
5197,Atios,Atios AG,Atios AG,https://atios.ch,cosmos1x9yk0t0j0eszhje7c9g57jn4fzsfyse8etrvhf,0
5199,Yale,ASSA ABLOY AB,ASSA ABLOY,https://yalehome.com/matter,cosmos18jvdrfrgztct9zs7rf3ym86gd65dsnj87se97d,0
5202,Big Ass Fans,Delta T LLC dba Big Ass Fans,Big Ass Fans,https://www.bigassfans.com,cosmos1vgm5jz7f0rw44seff9873tz6faeg3qe9emuv4e,0
5205,MagentaHome,Deutsche Telekom AG,,https://www.telekom.com,cosmos1d8uffwzar97jrazd48asg00hkp8p70mu6hjzcy,0
5207,Wistar motor,"Hangzhou Wistar Mechanical & Electric Technology Co., Ltd",Wistar,,cosmos1nphdzy3f6yvuqt7vaxth9vjyz6s7pmfjq9v6nv,0
5212,"Pin Genie,Inc. ","Pin Genie,Inc. ",,https://lockly.com/,cosmos18nrf2q033uhrjwcg0xpetqtg4rl77q7m6ph8cz,0
5213,Hosiden,Hosiden Corp.,,,cosmos1tl7s9h3qmcfxh76rjlcwxfkvhju379la6uwd2c,0
