vid,pid,softwareVersion,certificationType,softwareVersionString,cDVersionNumber,softwareVersionCertificationStatus,date,reason,owner,history,cDCertificateId,certificationRoute,programType,programTypeVersion,compliantPlatformUsed,compliantPlatformVersion,transport,familyId,supportedClusters,OSVersion,parentChild,certificationIdOfSoftwareComponent,schemaVersion
4107,8216,0,matter,v1.0,1,2,2023-06-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23660MAT41173-24,,,,,,,,,,,,0
4107,8217,0,matter,v1.0,1,2,2023-07-06T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23817MAT41330-24,,,,,,,,,,,,0
4107,8218,12,matter,v1.2,1,2,2024-10-01T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA245A8MAT44123-24,,,,,,,,,,,,0
4107,8448,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22512MAT40512-24,,,,,,,,,,,,0
4107,8449,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22477MAT40477-24,,,,,,,,,,,,0
4107,8450,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22478MAT40478-24,,,,,,,,,,,,0
4107,8451,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22479MAT40479-24,,,,,,,,,,,,0
4107,8452,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22480MAT40480-24,,,,,,,,,,,,0
4107,8453,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22481MAT40481-24,,,,,,,,,,,,0
4107,8454,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22482MAT40482-24,,,,,,,,,,,,0
4107,8455,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22483MAT40483-24,,,,,,,,,,,,0
4107,8456,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22484MAT40484-24,,,,,,,,,,,,0
4107,8457,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22485MAT40485-24,,,,,,,,,,,,0
4107,8458,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22486MAT40486-24,,,,,,,,,,,,0
4107,8459,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22487MAT40487-24,,,,,,,,,,,,0
4107,8460,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22488MAT40488-24,,,,,,,,,,,,0
4107,8461,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22489MAT40489-24,,,,,,,,,,,,0
4107,8462,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22490MAT40490-24,,,,,,,,,,,,0
4107,8463,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22491MAT40491-24,,,,,,,,,,,,0
4107,8475,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22503MAT40503-24,,,,,,,,,,,,0
4107,8476,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22504MAT40504-24,,,,,,,,,,,,0
4107,8477,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22505MAT40505-24,,,,,,,,,,,,0
